Longitude,Latitude,ElevationMeters,ICAO,WMO,Region,Country2
-158.25,21.75,11.042262,,0,,
-158.0,21.75,49.56284,,0,,
-157.75,21.75,26.69132,,0,,
-157.5,21.75,-8.323583,,0,,
-157.25,21.75,-4.651808,,0,,
-157.0,21.75,1.2860473,,0,,
-156.75,21.75,-10.080203,,0,,
-156.5,21.75,-4.7661276,,0,,
-156.25,21.75,-4.482519,,0,,
-156.0,21.75,-5.6137667,,0,,
-155.75,21.75,-6.346289,,0,,
-155.5,21.75,0.10381388,,0,,
-155.25,21.75,3.6154616,,0,,
-155.0,21.75,1.5565112,,0,,
-154.75,21.75,0.17909761,,0,,
-154.5,21.75,0.3240885,,0,,
-154.25,21.75,-0.104112625,,0,,
-154.0,21.75,-0.8187106,,0,,
-161.0,21.5,-0.200906,,0,,
-160.75,21.5,-1.9009641,,0,,
-160.5,21.5,0.9952689,,0,,
-160.25,21.5,8.527227,,0,,
-160.0,21.5,-2.305664,,0,,
-159.75,21.5,-26.378933,,0,,
-159.5,21.5,-27.878235,,0,,
-159.25,21.5,-12.445467,,0,,
-159.0,21.5,3.685567,,0,,
-158.75,21.5,7.512291,,0,,
-158.5,21.5,4.772999,,0,,
-158.25,21.5,100.23437,,0,,
-158.0,21.5,160.81506,,0,,
-157.75,21.5,94.83665,,0,,
-157.5,21.5,15.138254,,0,,
-157.25,21.5,-7.5217514,,0,,
-157.0,21.5,9.30516,,0,,
-156.75,21.5,6.005421,,0,,
-156.5,21.5,10.499343,,0,,
-156.25,21.5,16.671413,,0,,
-156.0,21.5,15.705073,,0,,
-155.75,21.5,5.862422,,0,,
-155.5,21.5,-5.9670825,,0,,
-155.25,21.5,-6.1268115,,0,,
-155.0,21.5,-0.975253,,0,,
-154.75,21.5,-1.9053457,,0,,
-154.5,21.5,0.3519714,,0,,
-154.25,21.5,1.6345831,,0,,
-154.0,21.5,-0.13597876,,0,,
-161.0,21.25,1.1828808,,0,,
-160.75,21.25,-0.063881636,,0,,
-160.5,21.25,-1.5516317,,0,,
-160.25,21.25,-0.8314571,,0,,
