Latitude,Longitude,ElevationMeters,Region,Country2
21.5,-158.5,4.772999,,
21.5,-158.25,100.23437,,
21.5,-158.0,160.81506,,
21.5,-157.75,94.83665,,
21.5,-157.5,15.138254,,
21.5,-157.25,-7.5217514,,
21.5,-157.0,9.30516,,
21.5,-156.75,6.005421,,
21.5,-156.5,10.499343,,
21.5,-156.25,16.671413,,
21.5,-156.0,15.705073,,
21.5,-155.75,5.862422,,
21.5,-155.5,-5.9670825,,
21.5,-155.25,-6.1268115,,
21.5,-155.0,-0.975253,,
21.5,-154.75,-1.9053457,,
21.5,-154.5,0.3519714,,
21.5,-154.25,1.6345831,,
21.5,-154.0,-0.13597876,,
21.25,-161.0,1.1828808,,
21.25,-160.75,-0.063881636,,
21.25,-160.5,-1.5516317,,
21.25,-160.25,-0.8314571,,
21.25,-160.0,5.200005,,
21.25,-159.75,10.728779,,
21.25,-159.5,11.210753,,
21.25,-159.25,9.696714,,
21.25,-159.0,1.4581244,,
21.25,-158.75,-3.7575645,,
21.25,-158.5,-8.603209,,
21.25,-158.25,14.588963,,
21.25,-158.0,51.227444,,
21.25,-157.75,31.155367,,
21.25,-157.5,-0.7286888,,
21.25,-157.25,29.624996,,
21.25,-157.0,83.69983,,
21.25,-156.75,60.153946,,
21.25,-156.5,-11.027026,,
21.25,-156.25,-26.656567,,
21.25,-156.0,-18.265417,,
21.25,-155.75,-3.2640378,,
21.25,-155.5,11.529814,,
21.25,-155.25,1.5895722,,
21.25,-155.0,4.3201013,,
21.25,-154.75,1.9735591,,
21.25,-154.5,-1.8866243,,
21.25,-154.25,-1.7424301,,
21.25,-154.0,1.841713,,
21.0,-161.0,-0.9270555,,
21.0,-160.75,-0.45902166,,
21.0,-160.5,0.8590412,,
21.0,-160.25,1.3884172,,
21.0,-160.0,-3.8551545,,
21.0,-159.75,-4.6609693,,
21.0,-159.5,-3.7742944,,
21.0,-159.25,-1.7858477,,
21.0,-159.0,-3.9627028,,
21.0,-158.75,2.2304797,,
21.0,-158.5,6.535196,,
21.0,-158.25,-9.270007,,
21.0,-158.0,-7.4261527,,
21.0,-157.75,-9.51697,,
21.0,-157.5,0.7379499,,
21.0,-157.25,32.125294,,
21.0,-157.0,67.7329,,
21.0,-156.75,50.40809,,
21.0,-156.5,94.981636,,
21.0,-156.25,123.54803,,
21.0,-156.0,78.28856,,
21.0,-155.75,-12.591254,,
21.0,-155.5,-11.6281,,
21.0,-155.25,-2.9688778,,
21.0,-155.0,-10.819896,,
21.0,-154.75,1.1127752,,
21.0,-154.5,4.7028933,,
21.0,-154.25,2.0034337,,
21.0,-154.0,-1.7121572,,
20.75,-161.0,0.3089521,,
20.75,-160.75,0.26633114,,
20.75,-160.5,0.62960505,,
20.75,-160.25,1.4939739,,
20.75,-160.0,0.34519982,,
20.75,-159.75,0.7773842,,
20.75,-159.5,-0.5466535,,
20.75,-159.25,1.6082937,,
20.75,-159.0,-2.5550165,,
20.75,-158.75,-0.7561733,,
20.75,-158.5,4.3495774,,
20.75,-158.25,-2.1072972,,
20.75,-158.0,2.369894,,
20.75,-157.75,4.2846503,,
20.75,-157.5,-3.5974371,,
20.75,-157.25,10.0333,,
20.75,-157.0,13.876356,,
20.75,-156.75,55.354507,,
20.75,-156.5,219.3416,,
20.75,-156.25,331.74698,,
20.75,-156.0,226.20995,,
20.75,-155.75,19.26253,,
20.75,-155.5,-7.1047034,,
20.75,-155.25,23.602297,,
20.75,-155.0,0.6359783,,
20.75,-154.75,-15.385118,,
20.75,-154.5,4.281862,,
20.75,-154.25,4.468677,,
20.75,-154.0,-1.408234,,
20.5,-161.0,0.94069815,,
20.5,-160.75,-0.617954,,
20.5,-160.5,-0.9465735,,
20.5,-160.25,0.24243155,,
